labnames,clusters
pro_LEP3755_RS01830_AMP_binding_NZ_AP017308__418834_420283_____,8
orn_ACP_RS03925_AMP_binding_NC_012483__939266_940601_____,8
gly_AVL59_RS41185_AMP_binding_NZ_CP016279__9469438_9470806_____,8
trp_BBK82_RS02200_AMP_binding_NZ_CP016793__457672_459010_____,8
cys_MMARE11_RS25255_AMP_binding_NZ_HG917972.2_6071100_6072441_____,8
val_TBIS_RS09670_AMP_binding_NC_014165__2261228_2262599_____,8
pro_MFUL124B02_RS27470_AMP_binding_NZ_CP006003__7095347_7096724_____,8
UNKNOWN_A9R04_RS09430_AMP_binding_NZ_CP017965__2217648_2219007_____,8
pro_BBK82_RS34150_AMP_binding_NZ_CP016793__7055913_7057272_____,8
UNKNOWN_AVL59_RS31355_AMP_binding_NZ_CP016279__7306449_7307757_____,8
UNKNOWN_B1T43_RS25130_AMP_binding_NZ_CP019883__5585635_5586982______MK__,8
UNKNOWN_AN480_RS16465_AMP_binding_NZ_CP012885.2_3546919_3548245______MY__,8
tyr_R1CP_RS15660_AMP_binding_NZ_CP009111__3437114_3438443_____,8
UNKNOWN_CEQ30_RS08700_AMP_binding_NZ_CP022088.2_1957201_1958548_____,8
UNKNOWN_CRH09_RS17260_AMP_binding_NZ_CP023778__3879120_3880467_____,8
leu_BBJ32_RS21035_AMP_binding_NZ_CP016396__4554539_4555871_____,8
UNKNOWN_BJL86_RS12565_AMP_binding_NZ_CP015961__2710228_2711566_____,8
UNKNOWN_A6C57_RS16795_AMP_binding_NZ_CP015317__4162792_4164073_____,8
UNKNOWN_B5M14_RS12995_AMP_binding_NZ_CP020105__3127074_3128346_____,8
UNKNOWN_GNIT_RS06125_AMP_binding_NC_016041__1402405_1403656_____,8
UNKNOWN_SVI_RS19300_AMP_binding_NC_014012__4684648_4685902_____,8
UNKNOWN_BGI50_RS27905_AMP_binding_NZ_CP017045__1385054_1386284_____,8
UNKNOWN_WS57_RS26785_AMP_binding_NZ_CP013378__3141725_3142994_____,8
UNKNOWN_A3218_RS03975_AMP_binding_NZ_CP014867__939180_940431_____,8
ile_RGE_RS22885_AMP_binding_NC_017075__5024839_5026096_____,8
UNKNOWN_ANT_RS14290_AMP_binding_NC_014960__3177368_3178634_____,8
pro_SHEL_RS11690_AMP_binding_NC_013165__2638098_2639379_____,8
UNKNOWN_A3Q40_RS12090_AMP_binding_NZ_CP015219__2674302_2675670_____,8
UNKNOWN_SROT_RS14590_AMP_binding_NC_014168__3002319_3003633_____,8
UNKNOWN_SROT_RS08405_AMP_binding_NC_014168__1669329_1670700_____,8
UNKNOWN_BLT28_RS04465_AMP_binding_NZ_LT629701__1015991_1017284_____,8
UNKNOWN_GZL_RS37680_AMP_binding_NZ_CP003987__8807719_8809066_____,8
UNKNOWN_CEQ30_RS09695_AMP_binding_NZ_CP022088.2_2203363_2204707_____,8
UNKNOWN_NS506_RS27350_AMP_binding_NZ_CP017839__5915779_5917129_____,8
UNKNOWN_BOX37_RS15925_AMP_binding_NZ_CP018082__3535786_3537124_____,8
UNKNOWN_C5B73_RS21845_AMP_binding_NZ_CP026746__4674465_4675794_____,8
UNKNOWN_A3N95_RS13865_AMP_binding_NZ_CP014950__2834508_2835876_____,8
UNKNOWN_SNOUR_RS06675_AMP_binding_NZ_CP011533__1593300_1594656_____,8
UNKNOWN_MPHLCCUG_RS14830_AMP_binding_NZ_CP014475__3091713_3093030_____,8
UNKNOWN_BAB78_RS15070_AMP_binding_NZ_CP016192__3057759_3059121_____,8
UNKNOWN_BB28_RS23495_AMP_binding_NZ_CP007220__4855377_4856718_____,8
UNKNOWN_CRH09_RS11345_AMP_binding_NZ_CP023778__2536019_2537369_____,8
UNKNOWN_MyAD_RS23540_AMP_binding_NZ_CP011022__5042400_5043735_____,8
UNKNOWN_A3N95_RS15925_AMP_binding_NZ_CP014950__3236145_3237495_____,8
UNKNOWN_VC42_RS00550_AMP_binding_NZ_CP010996__117238_118585_____,8
UNKNOWN_BLW81_RS06160_AMP_binding_NZ_LT629971__1283049_1284396_____,8
UNKNOWN_CKW33_RS01640_AMP_binding_NZ_LT906469__342425_343784_____,8
UNKNOWN_KALB_RS23480_AMP_binding_NZ_CP007155__5317903_5319259_____,8
UNKNOWN_CKJ54_RS12740_AMP_binding_NZ_CP023147__2706839_2708186_____,8
UNKNOWN_A3L23_RS20525_AMP_binding_NZ_CP015235__4359283_4360654_____,8
UNKNOWN_SCE1572_RS51960_AMP_binding_NC_021658__14199857_14201252_____,8
UNKNOWN_CMN_RS00240_AMP_binding_NC_020891__49680_50961_____,8
UNKNOWN_G155_RS13460_AMP_binding_NZ_CP009914__2777681_2779034_____,8
UNKNOWN_MMARE11_RS14105_AMP_binding_NZ_HG917972.2_3406879_3408250_____,8
UNKNOWN_BJM03_RS14315_AMP_binding_NZ_CP017597__2944415_2945753_____,8
UNKNOWN_XF36_RS16095_AMP_binding_NZ_CP011868__3516801_3518133_____,8
UNKNOWN_A7U43_RS04360_AMP_binding_NZ_CP015596__944076_945405_____,8
UNKNOWN_CE197_RS18090_AMP_binding_NZ_CP022223__3967560_3968916_____,8
UNKNOWN_VC42_RS09300_AMP_binding_NZ_CP010996__2050171_2051512_____,8
UNKNOWN_BTO20_RS16590_AMP_binding_NZ_CP020809__3432833_3434192_____,8
UNKNOWN_CEQ30_RS21605_AMP_binding_NZ_CP022088.2_4793808_4795149_____,8
UNKNOWN_AFB00_RS27795_AMP_binding_NZ_CP013854__5895632_5896973_____,8
UNKNOWN_M877_RS46065_AMP_binding_NZ_CM002280__714056_715400_____,8
UNKNOWN_CEQ30_RS10780_AMP_binding_NZ_CP022088.2_2448665_2450015_____,8
UNKNOWN_FRAEUI1C_RS13135_AMP_binding_NC_014666__3216475_3217852_____,8
UNKNOWN_SL103_RS17360_AMP_binding_NZ_CP017157__4006094_4007435_____,8
UNKNOWN_K663_RS00945_AMP_binding_NZ_CP005188__182578_183931_____,8
UNKNOWN_SOCE26_RS02255_AMP_binding_NZ_CP012673__543854_545231_____,8
UNKNOWN_MYVA_RS15675_AMP_binding_NZ_CP011491__3355751_3357038_____,8
UNKNOWN_B7C62_RS13305_AMP_binding_NZ_CP020563__3084818_3086210_____,8
UNKNOWN_SARE_RS15355_AMP_binding_NC_009953__3585114_3586458_____,8
UNKNOWN_ASU32_RS07770_AMP_binding_NZ_CP019066__1588749_1589991_____,8
thr_CX676_RS11085_AMP_binding_NZ_CP025430__2286356_2287754_____,8
pro_DARO_RS01335_AMP_binding_NC_007298__290804_292190_____,8
UNKNOWN_CKW10_RS08570_AMP_binding_NZ_LT906435__1961012_1962395_____,8
ala_ECTOBSL9_RS15680_AMP_binding_NZ_CP011994__3430508_3431891_____,8
pro_AUC44_RS10210_AMP_binding_NZ_CP013910__2110350_2111727_____,8
UNKNOWN_AEP_RS15370_AMP_binding_NZ_CP015698__3276922_3278317_____,8
pro_BBK82_RS25035_AMP_binding_NZ_CP016793__5064184_5065591_____,8
pro_DARO_RS12140_AMP_binding_NC_007298__2539374_2540757_____,8
tyr_ALW85_RS11680_AMP_binding_NC_004757__2423158_2424502_____,8
ala_AZO_RS15915_AMP_binding_NC_008702__3480662_3481973_____,8
cys_CCZ27_RS03355_AMP_binding_NZ_CP023439__731207_732542_____,8
tyr_A0O34_RS15530_AMP_binding_NZ_CP015199__3434452_3435808_____,8
tyr_CPT03_RS02785_AMP_binding_NZ_CP024091__682534_683986_____,8
UNKNOWN_A8F97_RS22550_AMP_binding_NZ_CP015749__4956096_4957464_____,8
pro_HMPREF9154_RS11425_AMP_binding_NC_018142__2551351_2552698_____,8
UNKNOWN_MEBOL_RS13265_AMP_binding_NZ_CP022163__3181128_3182484_____,8
ala_B446_RS13190_AMP_binding_NC_021985__3054456_3055851_____,8
UNKNOWN_GA0070619_RS19255_AMP_binding_NZ_LT607755__4400661_4402035_____,8
cys_BKM31_RS27065_AMP_binding_NZ_CP017717__6008694_6010041_____,8
UNKNOWN_MKAN_RS24695_AMP_binding_NC_022663__5682136_5683495______B1T43__,8
cys_B1H19_RS32775_AMP_binding_NZ_CP020569__7393616_7394984_____,8
UNKNOWN_SFR_RS02910_AMP_binding_NZ_CP009802__677586_678936______BEN82___,8
UNKNOWN_BV401_RS07450_AMP_binding_NZ_CP019458__1948538_1949894_____,8
UNKNOWN_BLT28_RS22185_AMP_binding_NZ_LT629701__4951050_4952343_____,8
tyr_AMIR_RS22250_AMP_binding_NC_013093__5294114_5295446_____,8
UNKNOWN_RSAL33209_RS11160_AMP_binding_NC_010168__2251908_2253240_____,8
cys_AOT96_RS32230_AMP_binding_NZ_CP015203__397880_399212_____,8
pro_AS9A_RS06265_AMP_binding_NC_015564__1340476_1341811_____,8
tyr_B5D60_RS13905_AMP_binding_NZ_LT796768__2878139_2879474_____,8
pro_RY67_RS05245_AMP_binding_NZ_CP010411__1244014_1245358_____,8
ala_B2G67_RS11380_AMP_binding_NZ_CP019892__2367052_2368393_____,8
pro_COCOR_RS25475_AMP_binding_NC_017030__6417454_6418846_____,8
tyr_BOX37_RS16440_AMP_binding_NZ_CP018082__3637821_3639156_____,8
UNKNOWN_GA0070620_RS07470_AMP_binding_NZ_LT598496__1683460_1684795_____,8
UNKNOWN_BBK82_RS25255_AMP_binding_NZ_CP016793__5112716_5114048_____,8
pro_MFUL124B02_RS11275_AMP_binding_NZ_CP006003__2761298_2762708_____,8
cys_MOC_RS01210_AMP_binding_NZ_CP003811__261007_262357_____,8
cys_AAW31_RS03915_AMP_binding_NZ_CP011451__889682_891041_____,8
tyr_CPG39_RS01215_AMP_binding_NZ_LT907782__268514_269873_____,8
UNKNOWN_CK934_RS15180_AMP_binding_NZ_CP023254__3770043_3771402_____,9
UNKNOWN_D770_RS00075_AMP_binding_NZ_CP004371__31106_32465_____,9
trp_PCNPT3_RS07070_AMP_binding_NC_020802__1622849_1624172_____,9
trp_CPT03_RS15870_AMP_binding_NZ_CP024091__3847329_3848649_____,9
asp_D770_RS15850_AMP_binding_NZ_CP004371__3765010_3766348_____,9
asp_AMIR_RS18055_AMP_binding_NC_013093__4240777_4242109_____,9
UNKNOWN_BLU55_RS03060_AMP_binding_NZ_LT629757__641660_643040_____,9
UNKNOWN_SHXM_RS43620_AMP_binding_NZ_CP018627__10264262_10265615_____,9
UNKNOWN_SSEG_RS24450_AMP_binding_NZ_CM000951__5440044_5441418_____,9
UNKNOWN_CO540_RS28545_AMP_binding_NZ_CP024052__6133518_6134892_____,9
ala_SROS_RS28700_AMP_binding_NC_013595__6525039_6526407_____,9
ala_SVTN_RS35600_AMP_binding_NZ_CP010407__7982519_7983938_____,9
lys_ACH46_RS12620_AMP_binding_NZ_CP011853__2692657_2694001_____,9
pro_SSEG_RS31755_AMP_binding_NZ_CM000951__7066664_7067855_____,9
UNKNOWN_CARG_RS07015_AMP_binding_NC_022198__1490188_1491562_____,9
UNKNOWN_CEPID_RS08660_AMP_binding_NZ_CP011541__1868135_1869500_____,9
UNKNOWN_BURJ1DRAFT_RS15220_AMP_binding_NZ_CM001438__3494986_3496327_____,9
trp_CKROP_RS06580_AMP_binding_NC_012704__1582606_1583971_____,9
UNKNOWN_DB32_RS17035_AMP_binding_NZ_CP011125__3997995_3999288_____,9
UNKNOWN_BKM78_RS07025_AMP_binding_NZ_CP019229__1515591_1516935_____,9
UNKNOWN_GA0070621_RS08640_AMP_binding_NZ_LT594324__1916599_1917757_____,9
UNKNOWN_BGL_RS23890_AMP_binding_NZ_CP002581__1484313_1485495______bpln__,9
UNKNOWN_CFBP1590_RS01765_AMP_binding_NZ_LT855380__367963_369163_____,9
UNKNOWN_BIND_RS13060_AMP_binding_NC_010581__2953091_2954201_____,9
UNKNOWN_AOR04_RS17995_AMP_binding_NZ_CP012738__101445_102519_____,9
UNKNOWN_JI59_RS20330_AMP_binding_NZ_CP009292__350546_351377_____,9
UNKNOWN_HCH_RS29830_AMP_binding_NC_007645__6735055_6736183_____,9
UNKNOWN_CR511_RS11630_AMP_binding_NZ_CP024085__2562102_2563221_____,9
ala_PSAKL28_RS09425_AMP_binding_NZ_CP009048__2018841_2019945_____,9
UNKNOWN_FRANEAN1_RS19230_AMP_binding_NC_009921__4741401_4742835_____,9
UNKNOWN_FRAAL_RS13935_AMP_binding_NC_008278__3460538_3461861_____,9
thr_R1CP_RS31660_AMP_binding_NZ_CP009111__6967337_6968594_____,9
thr_A4V08_RS34430_AMP_binding_NZ_CP015399.2_6877856_6879071_____,9
thr_AAY81_RS03280_AMP_binding_NZ_CP011402__811872_813111_____,9
thr_CLO1100_RS15835_AMP_binding_NC_016791__3740136_3741408_____,9
leu_BQ7370_RS00750_AMP_binding_NZ_LT635479__126075_127272_____,9
UNKNOWN_EUBCEDRAFT1_RS11985_AMP_binding_NZ_CM001487__2875202_2876477____,9
UNKNOWN_CM240_RS05080_AMP_binding_NZ_HG917868__1154273_1155578_____,9
ala_RUM_RS00400_AMP_binding_NC_021039__95308_96532_____,9
trp_AMK43_RS07845_AMP_binding_NZ_CP012410__1699446_1700628_____,9
ala_CEP89_RS04480_AMP_binding_NZ_CP027400__984994_986149_____,9
UNKNOWN_CEP89_RS04475_AMP_binding_NZ_CP027400__982397_983645_____,9
pro_VC03_RS03720_AMP_binding_NZ_CP011280__730278_731454_____,9
UNKNOWN_STERM_RS18575_AMP_binding_NC_013517__3982881_3984105_____,9
UNKNOWN_C4N19_RS11830_AMP_binding_NZ_CP028102__2377701_2378895_____,9
ala_C4N15_RS08370_AMP_binding_NZ_CP028107__1683117_1684323_____,9
ala_AT688_RS06720_AMP_binding_NZ_LN831027__1374243_1375446_____,9
ala_B5444_RS01280_AMP_binding_NZ_LT670846__238970_240164_____,9
trp_THERU_RS01875_AMP_binding_NZ_CP007028__344321_345551_____,9
ala_HYDHO_RS03895_AMP_binding_NC_020411__710845_712078_____,9
ala_SYO3AOP1_RS00745_AMP_binding_NC_010730__161301_162498_____,9
UNKNOWN_ILYOP_RS11035_AMP_binding_NC_014633__236868_238068_____,9
ala_ILYOP_RS11040_AMP_binding_NC_014633__239567_240761_____,9
ala_C4N17_RS03355_AMP_binding_NZ_CP028108__672348_673542_____,9
ala_C4N20_RS00855_AMP_binding_NZ_CP028105__176095_177292_____,9
ala_ABH19_RS08580_AMP_binding_NZ_CP012147__1692735_1694046_____,9
ala_LFE_RS08530_AMP_binding_NC_017094__1668022_1669282_____,9
UNKNOWN_L21SP5_RS17455_AMP_binding_NZ_CP013118__4324647_4325883_____,9
leu_CDL62_RS14305_AMP_binding_NZ_CP021904__3771814_3773011_____,9
ala_IALB_RS13370_AMP_binding_NC_017464__3085238_3086462_____,9
UNKNOWN_DB32_RS17020_AMP_binding_NZ_CP011125__3995255_3996533_____,9
val_NITINOP_RS03340_AMP_binding_NZ_LN885086__710248_711556_____,9
UNKNOWN_ECTOBSL9_RS15585_AMP_binding_NZ_CP011994__3408654_3409935_____,9
UNKNOWN_DAAHT2_RS10865_AMP_binding_NC_014216__2486817_2488131_____,9
cys_RGUI_RS08155_AMP_binding_NZ_CP015039__1666109_1667345_____,9
UNKNOWN_DESAC_RS14035_AMP_binding_NC_015388__3101160_3102528_____,9
UNKNOWN_NOS7524_RS06570_AMP_binding_NC_019684__1662297_1663605_____,9
cys_BPR_RS01335_AMP_binding_NC_014387__317398_318673_____,9
UNKNOWN_CBUG_RS10855_AMP_binding_NC_011527__93047_94325_____,9
UNKNOWN_AAW31_RS19335_AMP_binding_NZ_CP011451__86429_86756_____,9
UNKNOWN_DESAF_RS06660_AMP_binding_NC_016629__1485490_1486831_____,9
UNKNOWN_DGI_RS11390_AMP_binding_NC_022444__2597923_2599246_____,9
UNKNOWN_CMC5_RS01325_AMP_binding_NZ_CP012159__367506_368805_____,9
UNKNOWN_A2CP1_RS06635_AMP_binding_NC_011891__1474454_1475783_____,9
UNKNOWN_HOCH_RS15905_AMP_binding_NC_013440__4474328_4475774_____,9
UNKNOWN_AA314_RS14870_AMP_binding_NZ_CP011509__3705762_3707067_____,9
UNKNOWN_ACID345_RS15310_AMP_binding_NC_008009__3515897_3517163_____,9
UNKNOWN_ACIX8_RS20355_AMP_binding_NC_016631__5263724_5264960_____,9
UNKNOWN_AYM39_RS07330_AMP_binding_NZ_CP014360__1578467_1579700_____,9
UNKNOWN_CFB04_RS00535_AMP_binding_NZ_LT896716__106070_107306_____,9
UNKNOWN_GBEM_RS11100_AMP_binding_NC_011146__2578531_2579770_____,9
orn_ACID345_RS14735_AMP_binding_NC_008009__3400518_3401841_____,9
UNKNOWN_MCA_RS04930_AMP_binding_NC_002977.6_1056830_1058006_____,9
ala_B6V90_RS00065_AMP_binding_NZ_CP020554__16451_17741_____,10
leu_R50912_RS12120_AMP_binding_NZ_CP009282__2897383_2898631_____,10
ala_AOZ06_RS18075_AMP_binding_NZ_CP012752__3925049_3926345_____,10
orn_CM240_RS11135_AMP_binding_NZ_HG917868__2464850_2466152_____,10
ala_CXIVA_RS10525_AMP_binding_NC_015737__2259926_2261234_____,10
ala_BMU11_RS00125_AMP_binding_NZ_CP017938__51845_53144_____,10
UNKNOWN_B1T43_RS07030_AMP_binding_NZ_CP019883__1616504_1617860______MK__,10
ala_HALHY_RS18335_AMP_binding_NC_015510__4597657_4598992_____,10
UNKNOWN_CDC59_RS17245_AMP_binding_NZ_CP021767__318195_319533______RSUY__,10
ala_ABD05_RS31285_AMP_binding_NZ_CP011505__246849_248181_____,10
ala_SMD11_RS04635_AMP_binding_NZ_CP021744__1082717_1084079_____,10
UNKNOWN_B1T43_RS01650_AMP_binding_NZ_CP019883__403075_404422______MKAN__,10
UNKNOWN_MSPYR1_RS13420_AMP_binding_NC_014814__2823472_2824858______MFL__,10
ala_A3O02_RS04585_AMP_binding_NZ_CP014957__922064_923402_____,10
ala_BTO20_RS18325_AMP_binding_NZ_CP020809__3802804_3804142_____,10
ala_BJM03_RS02290_AMP_binding_NZ_CP017597__515275_516631_____,10
ala_FRAEUI1C_RS21720_AMP_binding_NC_014666__5353746_5355150_____,10
dhpg_Chelonae_RS00995_AMP_binding_NZ_CP010071__210059_211421_____,10
ala_HMPREF0291_RS03630_AMP_binding_NZ_CM000961__763195_764554_____,10
ala_CATYP_RS09725_AMP_binding_NZ_CP008944__2189671_2191084_____,10
ala_H924_RS12185_AMP_binding_NC_020506__2623527_2624922_____,10
UNKNOWN_IY73_RS03885_AMP_binding_NZ_CP009312__865139_866525______AL705__,10
ala_BLS40_RS07090_AMP_binding_NZ_LT629700__1488698_1490030_____,10
ala_C3V38_RS07675_AMP_binding_NZ_CP027238__1639825_1641229_____,10
trp_BLU53_RS25370_AMP_binding_NZ_LT629789__5673775_5675059_____,10
tyr_SBI_RS33615_AMP_binding_NC_016582__8186617_8187883_____,10
trp_GQ61_RS01140_AMP_binding_NZ_CP008743__248822_250136_____,10
trp_ABW99_RS11955_AMP_binding_NZ_CP011568.3_2579569_2580871_____,10
orn_H744_RS07395_AMP_binding_NZ_CP005973__1699637_1701014_____,10
ala_LFA_RS18715_AMP_binding_NZ_LN614827__401171_402581_____,10
ala_LHA_RS12120_AMP_binding_NZ_LN681225__2768468_2769860_____,10
ala_AOLE_RS18835_AMP_binding_NC_014259__3998656_3999997_____,10
ala_a0700_Ala_AAC44128.1_A1_not_in_mibig_saframycin_Ala_,10
ala_AMIS_RS15880_AMP_binding_NC_017093__3394141_3395524_____,10
ala_BJP36_RS07870_AMP_binding_NZ_CP017708__2094517_2095933_____,10
ala_RB386_AMP_binding_NC_005027__201042_202428_____,10
rare_aa_b0085_HOMM-Tyr_ADQ55476.1_A1_BGC0000350_ET-743__HOMM-Tyr_,10
UNKNOWN_AMAD1_RS21265_AMP_binding_NC_019394__168921_170199______I876_R__,10
ala_KQQ_RS02115_AMP_binding_NZ_CM001371__465296_466628_____,10
ala_CRI9333_RS01365_AMP_binding_NC_019753__336364_337732_____,10
ala_ARNIT_RS10960_AMP_binding_NC_014166__2177801_2179142_____,10
ala_AT705_RS21010_AMP_binding_NZ_CP013612__377205_378573_____,10
ala_A0O21_RS09010_AMP_binding_NZ_CP014699__1947870_1949145_____,10
ala_AL705_RS04315_AMP_binding_NZ_CP012390__967061_968405_____,10
ala_NPD4_RS01865_AMP_binding_NZ_CP013238__386924_388268_____,10
pro_CLOCEL_RS15640_AMP_binding_NC_014393__3834572_3835886_____,10
pro_LVISKB_RS12355_AMP_binding_NC_020826__13677_14973_____,10
UNKNOWN_BAM5036_RS16110_AMP_binding_NC_020410__3342334_3343642______BI__,10
ala_BS101_RS09165_AMP_binding_NZ_CP018335__1871718_1873014_____,10
ala_MYSTI_RS10110_AMP_binding_NC_020126__2511739_2513029_____,10
ala_CU254_RS05855_AMP_binding_NZ_CP024894__1194062_1195325_____,10
ala_AC233_RS05805_AMP_binding_NZ_CP012192__1326298_1327612_____,10
ala_B4U39_RS07075_AMP_binding_NZ_CP020039__1519377_1520685_____,10
ala_GA0074695_RS13485_AMP_binding_NZ_LT607411__2884073_2885390_____,10
ala_BVC93_RS00900_AMP_binding_NZ_CP019420__182651_183896_____,10
ala_KTR9_RS03375_AMP_binding_NC_018581__578473_579742_____,10
ala_C5B73_RS13015_AMP_binding_NZ_CP026746__2777320_2778631_____,10
ala_MYCRHN_RS01325_AMP_binding_NC_016604__265430_266723_____,10
ala_MMARE11_RS15700_AMP_binding_NZ_HG917972.2_3869159_3870467_____,10
ala_GLE_RS08125_AMP_binding_NZ_CP013140__1979072_1980365_____,10
ala_BOX37_RS17220_AMP_binding_NZ_CP018082__3813528_3814833_____,10
ala_APT_RS07055_AMP_binding_NZ_AP014881__1517613_1518867_____,10
ala_TMO_RS28965_AMP_binding_NC_017956__536625_537921_____,10
ala_A3N95_RS22385_AMP_binding_NZ_CP014950__4573720_4574947_____,10
ala_BGLA_RS29335_AMP_binding_NC_015376__2489148_2490489_____,10
UNKNOWN_STROP_RS14135_AMP_binding_NC_009380__3220473_3221697_____,10
ala_NONO_RS33285_AMP_binding_NZ_CP006850__7279981_7281259_____,10
ala_KALB_RS45835_AMP_binding_NZ_CP007155__6455090_6456371_____,10
UNKNOWN_SROT_RS06690_AMP_binding_NC_014168__1316638_1317946_____,10
ala_AB431_RS29385_AMP_binding_NZ_CP011773__758362_759640_____,10
ala_BJL86_RS04815_AMP_binding_NZ_CP015961__1044897_1046205_____,10
UNKNOWN_KY5_RS34000_AMP_binding_NZ_CP022685__7804273_7805476_____,10
ala_CEQ30_RS02060_AMP_binding_NZ_CP022088.2_424874_426140_____,10
ala_GA0074695_RS13600_AMP_binding_NZ_LT607411__2907805_2908978_____,10
dhpg_AJS_RS15250_AMP_binding_NC_008782__3243471_3244782_____,10
ala_M877_RS40275_AMP_binding_NZ_CM002280__357302_358724_____,10
ala_CPH63_RS20885_AMP_binding_NZ_LT907982__4616492_4617776_____,10
orn_CPH63_RS20950_AMP_binding_NZ_LT907982__4657741_4659055_____,10
UNKNOWN_PCAU_RS17130_AMP_binding_NZ_AP014623__3760782_3762054_____,10
thr_YC6258_RS22610_AMP_binding_NZ_CP007142__5412293_5413577_____,10
ala_BJP36_RS23535_AMP_binding_NZ_CP017708__6268623_6269538_____,10
ala_COCOR_RS25420_AMP_binding_NC_017030__6408828_6410058_____,10
hpg_AWU68_RS03675_AMP_binding_NZ_CP014635__795468_796842_____,10
asp_AXY43_RS06110_AMP_binding_NZ_CP014331__1374755_1375757_____,10
ala_A4V08_RS12020_AMP_binding_NZ_CP015399.2_2455043_2456237_____,10
ala_A6E92_RS01365_AMP_binding_NZ_CP015362__309873_311181_____,10
abu|ival_SXIM_RS23255_AMP_binding_NZ_CP009922.2_5137106_5138408_____,10
orn_H744_RS26225_AMP_binding_NZ_CP005973__1865579_1866827_____,10
leu_VTAP4600_RS18255_AMP_binding_NZ_LT960612__251571_252864_____,10
tyr_HDN1F_RS05110_AMP_binding_NC_014366__1242606_1243875_____,10
abu|ival_CYLST_RS29880_AMP_binding_NC_020050__36914_38237_____,10
ala_CJA_RS14455_AMP_binding_NC_010995__3556696_3557989_____,10
val_MFUL124B02_RS37300_AMP_binding_NZ_CP006003__9486076_9487330_____,10
ala_AZL_RS18550_AMP_binding_NC_013855__759795_761109_____,10
leu_BB28_RS16645_AMP_binding_NZ_CP007220__3383138_3384347_____,10
