
MIBiG accession	Full / partial MIBiG info	Main product	Biosynthetic class	Organism
BGC0000151	Full	stambomycin	Polyketide / Saccharide	Streptomyces ambofaciens ATCC 23877
BGC0000153	Full	stigmatellin	NRP / Polyketide	Stigmatella aurantiaca Sg a15
BGC0000154	Full	stipitatic acid	Polyketide	Talaromyces stipitatus ATCC 10500
BGC0000156	Full	TAN-1612	Polyketide	Aspergillus niger
BGC0000158	Full	tautomycetin	Polyketide	Streptomyces griseochromogenes
BGC0000159	Full	tautomycin	Polyketide	Streptomyces spiroverticillatus
BGC0000161	Full	terrein	Polyketide	Aspergillus terreus NIH2624
BGC0000165	Full	tiacumicin B	Polyketide	Dactylosporangium aurantiacum subsp. hamdenensis
BGC0000168	Full	viridicatumtoxin	Polyketide	Penicillium aethiopicum
BGC0000171	Full	9-methylstreptimidone	Polyketide	Streptomyces himastatinicus ATCC 53653
BGC0000173	Full	bongkrekic acid	Polyketide	Burkholderia gladioli
BGC0000175	Full	cycloheximide / actiphenol	Polyketide	Streptomyces sp. YIM 56141
BGC0000176	Full	difficidin	Other	Bacillus amyloliquefaciens subsp. plantarum str. FZB42
BGC0000177	Full	dorrigocin / migrastatin	Polyketide	Streptomyces platensis subsp. rosaceus
BGC0000178	Full	elansolid	Polyketide	Chitinophaga sancti
BGC0000179	Full	etnangien	Polyketide	Sorangium cellulosum So ce56
BGC0000180	Full	legioliulin	Polyketide	Legionella parisiensis
BGC0000181	Full	macrolactin	Other	Bacillus amyloliquefaciens subsp. plantarum str. FZB42
BGC0000182	Full	mupirocin	Polyketide	Pseudomonas fluorescens
BGC0000184	Full	sorangicin	Polyketide	Sorangium cellulosum
BGC0000186	Full	thailandamide	NRP / Polyketide	Burkholderia thailandensis E264
BGC0000187	Full	asukamycin	Polyketide	Streptomyces nodosus subsp. asukaensis
BGC0000188	Full	saxitoxin	Alkaloid	Cylindrospermopsis raciborskii T3
BGC0000189	Full	xenocyloins	Polyketide	Xenorhabdus bovienii SS-2004
BGC0000194	Full	actinorhodin	Polyketide	Streptomyces coelicolor A3(2)
BGC0000195	Full	alnumycin	Polyketide	Streptomyces sp. CM020
BGC0000196	Full	anthraquinone	Polyketide	Photorhabdus luminescens subsp. laumondii TTO1
BGC0000197	Full	aranciamycin	Polyketide / Saccharide	Streptomyces echinatus
BGC0000198	Full	arenimycin B	Polyketide / Saccharide	Salinispora arenicola CNB527
BGC0000199	Full	arimetamycin	Polyketide / Saccharide	uncultured bacterium
BGC0000200	Full	arixanthomycin	Polyketide / Saccharide	uncultured bacterium
BGC0000201	Full	auricin	Polyketide / Saccharide	Streptomyces aureofaciens
BGC0000204	Full	benastatin	Polyketide	Streptomyces sp. A2991200
BGC0000206	Full	chartreusin	Polyketide	Streptomyces chartreusis
BGC0000210	Full	chromomycin A3	Polyketide / Saccharide	Streptomyces griseus subsp. griseus
BGC0000212	Full	cinerubin B	Polyketide	Streptomyces sp. SPB74
BGC0000213	Full	colabomycin	Polyketide	Streptomyces aureus
BGC0000219	Full	elloramycin	Polyketide / Saccharide	Streptomyces olivaceus
BGC0000220	Full	enterocin	Polyketide	Streptomyces maritimus
BGC0000223	Full	fluostatin	Polyketide	uncultured bacterium BAC AB649/1850
BGC0000224	Full	fredericamycin	Polyketide	Streptomyces griseus
BGC0000227	Full	granaticin	Polyketide	Streptomyces violaceoruber
BGC0000229	Full	grincamycin	Polyketide / Saccharide	Streptomyces lusitanus
BGC0000230	Full	griseorhodin	Polyketide	Streptomyces sp. JP95
BGC0000239	Full	landomycin	Polyketide / Saccharide	Streptomyces cyanogenus
BGC0000240	Full	lomaiviticin	Polyketide / Saccharide	Salinispora pacifica
BGC0000241	Full	lomaiviticin	Polyketide / Saccharide	Salinispora tropica CNB-440
BGC0000247	Full	mithramycin	Polyketide / Saccharide	Streptomyces argillaceus
BGC0000250	Full	nogalamycin	Polyketide / Saccharide	Streptomyces nogalater
BGC0000253	Full	oviedomycin	Polyketide	Streptomyces antibioticus
BGC0000262	Full	rabelomycin	Polyketide / Saccharide	Streptomyces sp. PGA64
BGC0000264	Full	resistomycin	Polyketide	Streptomyces resistomycificus
BGC0000267	Full	saquayamycin Z / galtamycin B	Polyketide / Saccharide	Micromonospora sp. Tu 6368
BGC0000269	Full	SF2575	Other / Polyketide / Saccharide	Streptomyces sp. SF2575
BGC0000273	Full	steffimycin	Polyketide / Saccharide	Streptomyces steffisburgensis
BGC0000274	Full	tetarimycin	Polyketide	uncultured bacterium
BGC0000275	Full	tetracenomycin	Polyketide	Streptomyces glaucescens
BGC0000276	Full	urdamycin	Polyketide / Saccharide	Streptomyces fradiae
BGC0000280	Full	2,4-Diacetylphloroglucinol	Polyketide	Pseudomonas fluorescens
BGC0000283	Full	cetoniacytone A	Other	Actinomyces sp. Lu 9419
BGC0000285	Full	red pigment	Polyketide / Saccharide	Saccharopolyspora erythraea
BGC0000289	Full	A40926	NRP / Saccharide	Nonomuraea sp. ATCC 39727
BGC0000290	Full	A47934	NRP	Streptomyces toyocaensis
BGC0000297	Full	aeruginoside	NRP / Polyketide / Saccharide	Planktothrix agardhii NIVA-CYA 126
BGC0000298	Full	aeruginosin	NRP	Microcystis aeruginosa NIES-98
BGC0000302	Full	anabaenopeptin	NRP	Anabaena sp. 90
BGC0000305	Full	arthrofactin	NRP	Pseudomonas sp. MIS38
BGC0000306	Full	arylomycin	NRP	Streptomyces roseosporus NRRL 11379
BGC0000314	Full	bromoalterochromides	NRP / Polyketide	Pseudoalteromonas piscicida JCM 20779
BGC0000315	Full	calcium-dependent antibiotic	NRP	Streptomyces coelicolor A3(2)
BGC0000319	Full	cephamycin C	NRP	Streptomyces clavuligerus ATCC 27064
BGC0000320	Full	cereulide	NRP	Bacillus cereus
BGC0000323	Full	cichofactin	NRP	Pseudomonas cichorii
BGC0000330	Full	cupriachelin	NRP	Ralstonia eutropha H16
BGC0000333	Full	cyclomarin	NRP	Salinispora arenicola CNS-205
BGC0000337	Full	destruxins	NRP	Metarhizium anisopliae ARSEF 23
BGC0000338	Full	echinocandin B	NRP	Aspergillus rugulosus
BGC0000345	Full	eponemycin	NRP / Polyketide	Streptomyces hygroscopicus
BGC0000346	Full	epoxomicin	NRP / Polyketide	Goodfellowiella coeruleoviolacea
BGC0000350	Full	ET-743	NRP	uncultured organism
BGC0000352	Full	fimsbactin	NRP	Acinetobacter sp. ADP1
BGC0000355	Full	fumiquinazolines	NRP	Aspergillus fumigatus Af293
BGC0000356	Full	fumitremorgin	Alkaloid / NRP	Aspergillus fumigatus
BGC0000357	Full	fungisporin	NRP	Penicillium rubens Wisconsin 54-1255
BGC0000361	Full	gliotoxin	NRP	Aspergillus fumigatus Af293
BGC0000369	Full	hassallidins	NRP / Saccharide	Anabaena sp. Syke748
BGC0000370	Full	HC-toxin	NRP	Bipolaris zeicola
BGC0000372	Full	hexadehydro-astechrome (HAS)	NRP	Aspergillus fumigatus Af293
BGC0000374	Full	hormaomycin	NRP	Streptomyces griseoflavus
BGC0000380	Full	leupyrrin	NRP / Polyketide	Sorangium cellulosum
BGC0000383	Full	luminmycin	NRP / Polyketide	Photorhabdus luminescens subsp. laumondii TTO1
BGC0000384	Full	lyngbyatoxin	NRP	Lyngbya majuscula
BGC0000386	Full	malleobactin	NRP	Burkholderia thailandensis E264
BGC0000389	Full	massetolide A	NRP	Pseudomonas fluorescens SS101
BGC0000391	Full	methylpendolmycin/pendolmycin	NRP	Marinactinospora thermotolerans
BGC0000393	Full	myxoprincomide	NRP / Polyketide	Myxococcus xanthus DK 1622
BGC0000398	Full	orfamide	NRP	Pseudomonas sp. CMR12a
BGC0000399	Full	orfamide	NRP	Pseudomonas protegens Pf-5
BGC0000405	Full	penicillin	NRP	Penicillium chrysogenum
BGC0000406	Full	phosphinothricin	NRP	Streptomyces viridochromogenes
BGC0000416	Full	rhabdopeptides	NRP	Xenorhabdus nematophila ATCC 19061
BGC0000419	Full	ristomycin A	NRP / Saccharide	Amycolatopsis japonica
BGC0000420	Full	roquefortine C / meleagrin	NRP	Penicillium rubens Wisconsin 54-1255
BGC0000424	Full	serobactins	NRP	Herbaspirillum seropedicae SmR1
BGC0000425	Full	sessilin	NRP	Pseudomonas sp. CMR12a
BGC0000426	Full	sevadicin	NRP	Paenibacillus larvae
BGC0000427	Full	shinorine	NRP	Anabaena variabilis ATCC 29413
BGC0000429	Full	skyllamycin	NRP	Streptomyces sp. Acta 2897
BGC0000430	Full	spumigin	NRP / Polyketide	Nodularia spumigena CCY9414
BGC0000431	Full	stenothricin	NRP	Streptomyces roseosporus NRRL 15998
BGC0000433	Full	surfactin	NRP	Bacillus amyloliquefaciens subsp. plantarum str. FZB42
BGC0000439	Full	taromycin	NRP	Saccharomonospora sp. CNQ490
BGC0000440	Full	teicoplanin	NRP	Actinoplanes teichomyceticus
BGC0000442	Full	terrequinone	NRP	Aspergillus nidulans FGSC A4
BGC0000443	Full	thanamycin	NRP	Pseudomonas sp. SHC52
BGC0000445	Full	thiocoraline	NRP	Micromonospora sp. ML1
BGC0000447	Full	tolaasin	NRP	Pseudomonas costantinii
BGC0000453	Full	valinomycin	NRP	Streptomyces tsusimaensis
BGC0000459	Full	griseoviridin / viridogrisein	NRP / Polyketide	Streptomyces griseoviridis
BGC0000462	Full	WLIP	NRP	Pseudomonas putida
BGC0000463	Full	xantholysin	NRP	Pseudomonas putida
BGC0000464	Full	xenoamicins	NRP	Xenorhabdus doucetiae
BGC0000465	Full	xenortide	NRP	Xenorhabdus nematophila ATCC 19061
BGC0000468	Full	bottromycin A2	RiPP	Streptomyces bottropensis
BGC0000471	Full	viridisamide A	RiPP	Oscillatoria nigro-viridis PCC 7112
BGC0000472	Full	anacyclamide	RiPP	Anabaena sp. 90
BGC0000473	Full	microcyclamide	RiPP	Microcystis aeruginosa NIES-298
BGC0000474	Full	microcyclamide	RiPP	Microcystis aeruginosa PCC 7806
BGC0000476	Full	patellamide B / ulithiacyclamide	RiPP	uncultured Prochloron sp.
BGC0000477	Full	patellin 2 / patellin 3	RiPP	uncultured Prochloron sp. 06037A
BGC0000478	Full	patellin 6 / trunkamide	RiPP	uncultured Prochloron sp.
BGC0000479	Full	prenylagaramide B / prenylagaramide C	RiPP	Planktothrix agardhii NIES-596
BGC0000480	Full	tenuecyclamide A / tenuecyclamide C	RiPP	Nostoc spongiaeforme var. tenue str. Carmeli
BGC0000482	Full	trunkamide	RiPP	uncultured Prochloron sp.
BGC0000483	Full	aeruginosamide	RiPP	Microcystis aeruginosa PCC 9432
BGC0000488	Full	circularin A	RiPP	Clostridium beijerinckii
BGC0000501	Full	catenulipeptin	RiPP	Catenulispora acidiphila DSM 44928
BGC0000503	Full	cinnamycin	RiPP	Streptomyces cinnamoneus
BGC0000506	Full	entianin	RiPP	Bacillus subtilis subsp. spizizenii
BGC0000509	Full	epilancin 15X	RiPP	Staphylococcus epidermidis
BGC0000511	Full	ericin A	RiPP	Bacillus subtilis
BGC0000513	Full	erythreapeptin	RiPP	Saccharopolyspora erythraea NRRL 2338
BGC0000515	Full	geobacillin I	RiPP	Geobacillus thermodenitrificans NG80-2
BGC0000516	Full	geobacillin II	RiPP	Geobacillus sp. G11MC16
BGC0000517	Full	haloduracin alpha / haloduracin beta	RiPP	Bacillus halodurans C-125
BGC0000518	Full	informatipeptin	RiPP	Streptomyces viridochromogenes DSM 40736
BGC0000519	Full	labyrinthopeptin A1,A3 / labyrinthopeptin A2	RiPP	Actinomadura namibiensis
BGC0000520	Full	lacticin 3147 A1 / lacticin 3147 A2	RiPP	Lactococcus lactis
BGC0000526	Full	macedocin	RiPP	Streptococcus macedonicus
BGC0000529	Full	microbisporicin	RiPP	Microbispora corallina
BGC0000535	Full	nisin A	RiPP	Lactococcus lactis subsp. lactis
BGC0000544	Full	planosporicin	RiPP	Planomonospora alba
BGC0000546	Full	SAL-2242	RiPP	Streptomyces albus J1074
BGC0000551	Full	sapB	RiPP	Streptomyces coelicolor A3(2)
BGC0000553	Full	SRO15-2212	RiPP	Streptomyces roseosporus NRRL 15998
BGC0000554	Full	SRO15-3108	RiPP	Streptomyces roseosporus NRRL 15998
BGC0000559	Full	subtilin	RiPP	Bacillus subtilis subsp. spizizenii ATCC 6633
BGC0000560	Full	subtilomycin	RiPP	Bacillus subtilis
BGC0000563	Full	venezuelin	RiPP	Streptomyces venezuelae ATCC 10712
BGC0000564	Full	clostridiolysin S	RiPP	Clostridium botulinum A str. ATCC 3502
BGC0000566	Full	streptolysin S	RiPP	Streptococcus pyogenes M1 GAS
BGC0000569	Full	plantathiazolicin / plantazolicin	RiPP	Bacillus amyloliquefaciens subsp. plantarum str. FZB42
BGC0000578	Full	SRO15-2005	RiPP	Streptomyces roseosporus NRRL 15998
BGC0000579	Full	SSV-2083	RiPP	Streptomyces sviceus ATCC 29083
BGC0000582	Full	cypemycin	RiPP	Streptomyces sp. OH-4156
BGC0000583	Full	grisemycin	RiPP	Streptomyces griseus subsp. griseus NBRC 13350
BGC0000592	Full	microviridin B	RiPP	Microcystis aeruginosa NIES-298
BGC0000593	Full	microviridin B	RiPP	Microcystis aeruginosa MRC
BGC0000595	Full	SCO-2138	RiPP	Streptomyces coelicolor A3(2)
BGC0000596	Full	SLI-2138	RiPP	Streptomyces lividans TK24
BGC0000597	Full	SWA-2138	RiPP	Streptomyces sp. e14
BGC0000598	Full	polytheonamides	RiPP	Candidatus Entotheonella sp. TSY1
BGC0000601	Full	sporulation killing factor skfA	RiPP	Bacillus subtilis subsp. subtilis str. 168
BGC0000603	Full	cyclothiazomycin	RiPP	Streptomyces hygroscopicus
BGC0000604	Full	GE2270	RiPP	Nonomuraea sp. WU8817
BGC0000612	Full	thiocillin I / thiocillin II	RiPP	Bacillus cereus ATCC 14579
BGC0000613	Full	thiomuracins	RiPP	Nonomuraea sp. Bp3714-39
BGC0000615	Full	TP-1161	RiPP	Nocardiopsis sp. TFS65-07
BGC0000616	Full	amylocyclicin	RiPP	Bacillus amyloliquefaciens subsp. plantarum str. FZB42
BGC0000628	Full	lactocillin	RiPP	Lactobacillus gasseri JV-V03
BGC0000631	Full	botrydial	Terpene	Botrytis cinerea B05.10
BGC0000646	Full	carotenoid	Terpene	uncultured bacterium
BGC0000654	Full	phenalinolactone	Saccharide / Terpene	Streptomyces sp. Tu6071
BGC0000657	Full	2-methylisoborneol	Terpene	Pseudanabaena sp. dqh15
BGC0000661	Full	geosmin	Terpene	Nostoc punctiforme PCC 73102
BGC0000665	Full	xiamycin	Alkaloid / Terpene	Streptomyces sp. HKI0576
BGC0000666	Full	xiamycin	Terpene	Streptomyces sp. SCSIO 02999
BGC0000668	Full	welwitindolinone	Alkaloid / Terpene	Hapalosiphon welwitschii UTEX B 1830
BGC0000669	Full	marneral	Terpene	Arabidopsis thaliana
BGC0000670	Full	thalianol	Terpene	Arabidopsis thaliana
BGC0000676	Full	aphidicolin	Terpene	Phoma betae
BGC0000677	Full	cyclooctatin	Terpene	Streptomyces melanosporofaciens
BGC0000758	Full	capsular polysaccharide	Saccharide	Staphylococcus aureus
BGC0000774	Full	lipopolysaccharide	Saccharide	Xanthomonas campestris pv. campestris
BGC0000805	Full	moenomycin	Saccharide	Streptomyces ghanaensis ATCC 14672
BGC0000808	Full	cepacian	Saccharide	Burkholderia multivorans ATCC 17616
BGC0000816	Full	malbrancheamide	Alkaloid / NRP	Malbranchea aurantiaca
BGC0000817	Full	methylarcyriarubin	Alkaloid	uncultured bacterium
BGC0000818	Full	notoamide	NRP	Aspergillus versicolor
BGC0000819	Full	paraherquamide	Alkaloid / NRP	Penicillium fellutanum
BGC0000820	Full	physostigmine	Alkaloid	Streptomyces griseofuscus
BGC0000821	Full	rebeccamycin	Other	Lechevalieria aerocolonigenes
BGC0000822	Full	rebeccamycin	Alkaloid	Lechevalieria aerocolonigenes
BGC0000824	Full	scytonemin	Alkaloid	Nostoc punctiforme PCC 73102
BGC0000829	Full	violacein	Alkaloid	Chromobacterium violaceum
BGC0000830	Full	violacein	Other	uncultured bacterium
BGC0000832	Full	clorobiocin	Other / Saccharide	Streptomyces roseochromogenes subsp. oscitans DS 12.976
BGC0000833	Full	coumermycin A1	Other / Saccharide	Streptomyces rishiriensis
BGC0000834	Full	novobiocin	Other / Saccharide	Streptomyces niveus
BGC0000836	Full	APE Ec	Other	Escherichia coli CFT073
BGC0000837	Full	APE Vf	Other	Vibrio fischeri ES114
BGC0000839	Full	flexirubin	Other	Chitinophaga pinensis DSM 2588
BGC0000841	Full	alanylclavam	Other	Streptomyces clavuligerus ATCC 27064
BGC0000843	Full	clavams	Other	Streptomyces clavuligerus ATCC 27064
BGC0000845	Full	clavulanic acid	Other	Streptomyces clavuligerus ATCC 27064
BGC0000847	Full	thienamycin	Other	Streptomyces cattleya
BGC0000849	Full	gamma-butyrolactone	Other	Streptomyces coelicolor A3(2)
BGC0000871	Full	VEPE / AEPE / TG-1	Other	Myxococcus xanthus DK 1622
BGC0000875	Full	caprazamycin	Other	Streptomyces sp. MK730-62F2
BGC0000880	Full	tunicamycin	Nucleoside	Streptomyces chartreusis NRRL 3882
BGC0000887	Full	AWQC131C	Alkaloid	Dolichospermum circinale AWQC131C
BGC0000890	Full	bromophenols / bromopyrroles	Other	Pseudoalteromonas phenolica O-BC30
BGC0000891	Full	bromophenols / bromopyrroles	Other	Pseudoalteromonas luteoviolacea 2ta16
BGC0000892	Full	caryoynencin	Other	Burkholderia gladioli BSR3
BGC0000893	Full	chloramphenicol	NRP	Streptomyces venezuelae ATCC 10712
BGC0000898	Full	desosamine	Saccharide	Streptomyces venezuelae
BGC0000915	Full	mitomycin	Other	Streptomyces lavendulae
BGC0000921	Full	promysalin	Other	Pseudomonas putida
BGC0000934	Full	endophenazines	Other	Kitasatospora sp. HKI 714
BGC0000935	Full	esmeraldin	Other	Streptomyces antibioticus
BGC0000938	Full	fosfomycin	Other	Streptomyces fradiae
BGC0000940	Full	desferrioxamine B	Other	Streptomyces coelicolor A3(2)
BGC0000942	Full	petrobactin	Other	Bacillus anthracis str. Ames
BGC0000944	Full	staphyloferrin	Other	Staphylococcus aureus subsp. aureus NCTC 8325
BGC0000948	Full	alpha-galactosylceramide	Other	Bacteroides fragilis NCTC 9343
BGC0000950	Full	napsamycin	NRP / Other	Streptomyces sp. DSM 5940
BGC0000952	Full	pristinamycin	NRP / Polyketide	Streptomyces pristinaespiralis
BGC0000953	Full	amicetin	Saccharide	Streptomyces vinaceusdrappus
BGC0000954	Full	ajudazol	NRP / Polyketide	Chondromyces crocatus
BGC0000955	Full	althiomycin	NRP / Polyketide	Myxococcus xanthus
BGC0000956	Full	andrimid	NRP / Polyketide	Pantoea agglomerans
BGC0000958	Full	antimycin	NRP / Polyketide	Streptomyces sp. S4
BGC0000959	Full	aspyridone	NRP / Polyketide	Aspergillus nidulans FGSC A4
BGC0000962	Full	barbamide	NRP / Polyketide	Lyngbya majuscula
BGC0000963	Full	bleomycin	NRP / Polyketide / Saccharide	Streptomyces verticillus
BGC0000964	Full	burkholdac	NRP / Polyketide	Burkholderia thailandensis E264
BGC0000965	Full	C-1027	Polyketide	Streptomyces globisporus
BGC0000967	Full	calyculin	NRP / Polyketide	uncultured Candidatus Entotheonella sp.
BGC0000968	Full	chaetoglobosin	NRP / Polyketide	Penicillium expansum
BGC0000969	Full	chondramide	NRP / Polyketide	Chondromyces crocatus
BGC0000970	Full	chondrochloren	NRP / Polyketide	Chondromyces crocatus
BGC0000971	Full	cinnabaramide	NRP / Polyketide	Streptomyces sp. JS360
BGC0000972	Full	colibactin	NRP / Polyketide	Escherichia coli
BGC0000973	Full	collismycin A	NRP / Polyketide	Streptomyces sp. CS40
BGC0000975	Full	cryptophycin	NRP	Nostoc sp. ATCC 53789
BGC0000976	Full	curacin	NRP / Polyketide	Moorea producens 3L
BGC0000978	Full	cylindrospermopsin	Alkaloid / NRP / Polyketide	Cylindrospermopsis raciborskii AWT205
BGC0000983	Full	cytochalasin	NRP / Polyketide	Aspergillus clavatus NRRL 1
BGC0000985	Full	didemnin	NRP / Polyketide	Tistrella mobilis KA081020-065
BGC0000993	Full	FK228	NRP / Polyketide	Chromobacterium violaceum
BGC0000996	Full	frontalamides	NRP / Polyketide	Streptomyces sp. SPB78
BGC0001000	Full	hectochlorin	NRP / Polyketide	Lyngbya majuscula
BGC0001001	Full	jamaicamide	NRP / Polyketide	Lyngbya majuscula
BGC0001003	Full	lipomycin	NRP / Polyketide / Saccharide	Streptomyces aureofaciens
BGC0001004	Full	lobophorin	Polyketide	Streptomyces sp. SCSIO 01127
BGC0001006	Full	lymphostin	NRP / Polyketide	Salinispora tropica CNB-440
BGC0001007	Full	lymphostin	NRP / Polyketide	Salinispora arenicola CNS-205
BGC0001008	Full	maduropeptin	Polyketide	Actinomadura madurae
BGC0001010	Full	melithiazol	NRP / Polyketide	Melittangium lichenicola
BGC0001014	Full	micacocidin	NRP / Polyketide	Ralstonia solanacearum GMI1000
BGC0001016	Full	microcystin	NRP / Polyketide	Anabaena sp. 90
BGC0001017	Full	microcystin	NRP / Polyketide	Microcystis aeruginosa PCC 7806
BGC0001019	Full	microsclerodermins	NRP / Polyketide	Sorangium cellulosum
BGC0001023	Full	myxochromide	NRP / Polyketide	Stigmatella aurantiaca
BGC0001024	Full	myxothiazol	NRP / Polyketide	Stigmatella aurantiaca DW4/3-1
BGC0001025	Full	myxovirescin	NRP / Polyketide	Myxococcus xanthus DK 1622
BGC0001028	Full	nostopeptolide	NRP	Nostoc sp. GSV224
BGC0001029	Full	nostophycin	NRP	Nostoc sp. 152
BGC0001034	Full	pellasoren	NRP / Polyketide	Sorangium cellulosum
BGC0001035	Full	pneumocandin	Other	Glarea lozoyensis ATCC 20868
BGC0001037	Full	pseurotin A	NRP / Polyketide	Aspergillus fumigatus Af293
BGC0001038	Full	pyralomicin	NRP / Polyketide	Nonomuraea spiralis
BGC0001041	Full	salinosporamide	NRP / Polyketide	Salinispora tropica CNB-440
BGC0001045	Full	spiruchostatin	NRP / Polyketide	Pseudomonas sp. Q71576
BGC0001046	Full	streptolydigin	NRP / Polyketide / Saccharide	Streptomyces lydicus
BGC0001048	Full	tallysomycin	NRP / Polyketide / Saccharide	Streptoalloteichus hindustanus
BGC0001049	Full	tenellin	NRP / Polyketide	Beauveria bassiana
BGC0001050	Full	thalassospiramide	NRP / Polyketide	Tistrella bauzanensis
BGC0001051	Full	thuggacin	NRP / Polyketide	Sorangium cellulosum
BGC0001052	Full	tirandamycin	NRP / Polyketide	Streptomyces sp. 307-9
BGC0001054	Full	xenocoumacin	NRP / Polyketide	Xenorhabdus nematophila ATCC 19061
BGC0001056	Full	zeamine	NRP / Other / Polyketide	Serratia plymuthica RVH1
BGC0001058	Full	zorbamycin	NRP / Polyketide / Saccharide	Streptomyces flavoviridis
BGC0001061	Full	polyketomycin	Polyketide / Saccharide	Streptomyces diastatochromogenes
BGC0001064	Full	cylindrocyclophane	Polyketide	Cylindrospermum licheniforme UTEX B 2014
BGC0001066	Full	kendomycin	Polyketide	Streptomyces violaceoruber
BGC0001067	Full	fumagillin	Polyketide / Terpene	Aspergillus fumigatus Af293
BGC0001069	Full	chivosazole	NRP / Polyketide	Sorangium cellulosum
BGC0001070	Full	kirromycin	NRP / Polyketide	Streptomyces collinus Tu 365
BGC0001071	Full	nosperin	Polyketide	Nostoc sp. 'Peltigera membranacea cyanobiont'
BGC0001072	Full	simocyclinone	Other / Polyketide / Saccharide	Streptomyces antibioticus
BGC0001076	Full	liposidomycin	Other	Streptomyces sp. SN-1061M
BGC0001079	Full	napyradiomycin	Polyketide / Terpene	Streptomyces aculeolatus
BGC0001080	Full	phenazine	Other	Streptomyces anulatus
BGC0001082	Full	paxilline	Terpene	Penicillium paxilli
BGC0001083	Full	merochlorin	Polyketide / Terpene	Streptomyces sp. CNH189
BGC0001084	Full	notoamide / stephacidin	Alkaloid / NRP / Terpene	Aspergillus sp. MF297-2
BGC0001089	Full	bacillaene	Other	Bacillus amyloliquefaciens subsp. plantarum str. FZB42
BGC0001090	Full	bacillomycin	NRP	Bacillus amyloliquefaciens subsp. plantarum str. FZB42
BGC0001092	Full	diaphorin	NRP / Polyketide	Candidatus Profftella armatura
BGC0001095	Full	fengycin	NRP / Other	Bacillus amyloliquefaciens subsp. plantarum str. FZB42
BGC0001099	Full	kalimantacin / batumin	NRP / Polyketide	Pseudomonas fluorescens
BGC0001101	Full	leinamycin	NRP / Polyketide	Streptomyces atroolivaceus
BGC0001102	Full	malleilactone	NRP / Polyketide	Burkholderia thailandensis E264
BGC0001105	Full	onnamide	NRP / Polyketide	Candidatus Entotheonella sp. TSY1
BGC0001108	Full	pederin	Polyketide	symbiont bacterium of Paederus fuscipes
BGC0001110	Full	psymberin	NRP / Polyketide	uncultured bacterium psy1
BGC0001111	Full	rhizopodins	NRP / Polyketide	Stigmatella aurantiaca Sg a15
BGC0001112	Full	rhizoxins	NRP / Polyketide	Burkholderia rhizoxinica
