label,taxonomic_class,color
A3218_RS03975_AMP_binding_NZ_CP014867__939180_940431_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
RGE_RS22885_AMP_binding_NC_017075__5024839_5026096_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
ANT_RS14290_AMP_binding_NC_014960__3177368_3178634_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
SHEL_RS11690_AMP_binding_NC_013165__2638098_2639379_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
A3Q40_RS12090_AMP_binding_NZ_CP015219__2674302_2675670_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
SROT_RS14590_AMP_binding_NC_014168__3002319_3003633_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
SROT_RS08405_AMP_binding_NC_014168__1669329_1670700_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
BLT28_RS04465_AMP_binding_NZ_LT629701__1015991_1017284_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
GZL_RS37680_AMP_binding_NZ_CP003987__8807719_8809066_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
CEQ30_RS09695_AMP_binding_NZ_CP022088.2_2203363_2204707_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
NS506_RS27350_AMP_binding_NZ_CP017839__5915779_5917129_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
BOX37_RS15925_AMP_binding_NZ_CP018082__3535786_3537124_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
C5B73_RS21845_AMP_binding_NZ_CP026746__4674465_4675794_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
A3N95_RS13865_AMP_binding_NZ_CP014950__2834508_2835876_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
SNOUR_RS06675_AMP_binding_NZ_CP011533__1593300_1594656_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
MPHLCCUG_RS14830_AMP_binding_NZ_CP014475__3091713_3093030_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
BAB78_RS15070_AMP_binding_NZ_CP016192__3057759_3059121_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
BB28_RS23495_AMP_binding_NZ_CP007220__4855377_4856718_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
CRH09_RS11345_AMP_binding_NZ_CP023778__2536019_2537369_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
MyAD_RS23540_AMP_binding_NZ_CP011022__5042400_5043735_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
A3N95_RS15925_AMP_binding_NZ_CP014950__3236145_3237495_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
VC42_RS00550_AMP_binding_NZ_CP010996__117238_118585_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
BLW81_RS06160_AMP_binding_NZ_LT629971__1283049_1284396_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
CKW33_RS01640_AMP_binding_NZ_LT906469__342425_343784_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
KALB_RS23480_AMP_binding_NZ_CP007155__5317903_5319259_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
CKJ54_RS12740_AMP_binding_NZ_CP023147__2706839_2708186_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
A3L23_RS20525_AMP_binding_NZ_CP015235__4359283_4360654_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
SCE1572_RS51960_AMP_binding_NC_021658__14199857_14201252_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
CMN_RS00240_AMP_binding_NC_020891__49680_50961_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
G155_RS13460_AMP_binding_NZ_CP009914__2777681_2779034_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
MMARE11_RS14105_AMP_binding_NZ_HG917972.2_3406879_3408250_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
BJM03_RS14315_AMP_binding_NZ_CP017597__2944415_2945753_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
XF36_RS16095_AMP_binding_NZ_CP011868__3516801_3518133_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
A7U43_RS04360_AMP_binding_NZ_CP015596__944076_945405_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
CE197_RS18090_AMP_binding_NZ_CP022223__3967560_3968916_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
VC42_RS09300_AMP_binding_NZ_CP010996__2050171_2051512_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
BTO20_RS16590_AMP_binding_NZ_CP020809__3432833_3434192_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
CEQ30_RS21605_AMP_binding_NZ_CP022088.2_4793808_4795149_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
AFB00_RS27795_AMP_binding_NZ_CP013854__5895632_5896973_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
M877_RS46065_AMP_binding_NZ_CM002280__714056_715400_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
CEQ30_RS10780_AMP_binding_NZ_CP022088.2_2448665_2450015_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
FRAEUI1C_RS13135_AMP_binding_NC_014666__3216475_3217852_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
SL103_RS17360_AMP_binding_NZ_CP017157__4006094_4007435_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
K663_RS00945_AMP_binding_NZ_CP005188__182578_183931_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
SOCE26_RS02255_AMP_binding_NZ_CP012673__543854_545231_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
MYVA_RS15675_AMP_binding_NZ_CP011491__3355751_3357038_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
B7C62_RS13305_AMP_binding_NZ_CP020563__3084818_3086210_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
SARE_RS15355_AMP_binding_NC_009953__3585114_3586458_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
ASU32_RS07770_AMP_binding_NZ_CP019066__1588749_1589991_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
CX676_RS11085_AMP_binding_NZ_CP025430__2286356_2287754_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
DARO_RS01335_AMP_binding_NC_007298__290804_292190_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
CKW10_RS08570_AMP_binding_NZ_LT906435__1961012_1962395_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
ECTOBSL9_RS15680_AMP_binding_NZ_CP011994__3430508_3431891_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
AUC44_RS10210_AMP_binding_NZ_CP013910__2110350_2111727_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
AEP_RS15370_AMP_binding_NZ_CP015698__3276922_3278317_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
BBK82_RS25035_AMP_binding_NZ_CP016793__5064184_5065591_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
DARO_RS12140_AMP_binding_NC_007298__2539374_2540757_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
ALW85_RS11680_AMP_binding_NC_004757__2423158_2424502_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
AZO_RS15915_AMP_binding_NC_008702__3480662_3481973_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
CCZ27_RS03355_AMP_binding_NZ_CP023439__731207_732542_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
A0O34_RS15530_AMP_binding_NZ_CP015199__3434452_3435808_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
CPT03_RS02785_AMP_binding_NZ_CP024091__682534_683986_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
A8F97_RS22550_AMP_binding_NZ_CP015749__4956096_4957464_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
HMPREF9154_RS11425_AMP_binding_NC_018142__2551351_2552698_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
MEBOL_RS13265_AMP_binding_NZ_CP022163__3181128_3182484_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
B446_RS13190_AMP_binding_NC_021985__3054456_3055851_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
GA0070619_RS19255_AMP_binding_NZ_LT607755__4400661_4402035_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
BKM31_RS27065_AMP_binding_NZ_CP017717__6008694_6010041_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
MKAN_RS24695_AMP_binding_NC_022663__5682136_5683495______B1T43__,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
B1H19_RS32775_AMP_binding_NZ_CP020569__7393616_7394984_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
SFR_RS02910_AMP_binding_NZ_CP009802__677586_678936______BEN82___,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
BV401_RS07450_AMP_binding_NZ_CP019458__1948538_1949894_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
BLT28_RS22185_AMP_binding_NZ_LT629701__4951050_4952343_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
AMIR_RS22250_AMP_binding_NC_013093__5294114_5295446_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
RSAL33209_RS11160_AMP_binding_NC_010168__2251908_2253240_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
AOT96_RS32230_AMP_binding_NZ_CP015203__397880_399212_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
AS9A_RS06265_AMP_binding_NC_015564__1340476_1341811_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
B5D60_RS13905_AMP_binding_NZ_LT796768__2878139_2879474_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
RY67_RS05245_AMP_binding_NZ_CP010411__1244014_1245358_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
B2G67_RS11380_AMP_binding_NZ_CP019892__2367052_2368393_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
COCOR_RS25475_AMP_binding_NC_017030__6417454_6418846_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
BOX37_RS16440_AMP_binding_NZ_CP018082__3637821_3639156_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
GA0070620_RS07470_AMP_binding_NZ_LT598496__1683460_1684795_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
BBK82_RS25255_AMP_binding_NZ_CP016793__5112716_5114048_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
MFUL124B02_RS11275_AMP_binding_NZ_CP006003__2761298_2762708_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
MOC_RS01210_AMP_binding_NZ_CP003811__261007_262357_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
AAW31_RS03915_AMP_binding_NZ_CP011451__889682_891041_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
CPG39_RS01215_AMP_binding_NZ_LT907782__268514_269873_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
CK934_RS15180_AMP_binding_NZ_CP023254__3770043_3771402_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
D770_RS00075_AMP_binding_NZ_CP004371__31106_32465_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
PCNPT3_RS07070_AMP_binding_NC_020802__1622849_1624172_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
CPT03_RS15870_AMP_binding_NZ_CP024091__3847329_3848649_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
D770_RS15850_AMP_binding_NZ_CP004371__3765010_3766348_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
AMIR_RS18055_AMP_binding_NC_013093__4240777_4242109_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
BLU55_RS03060_AMP_binding_NZ_LT629757__641660_643040_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
SHXM_RS43620_AMP_binding_NZ_CP018627__10264262_10265615_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
SSEG_RS24450_AMP_binding_NZ_CM000951__5440044_5441418_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
CO540_RS28545_AMP_binding_NZ_CP024052__6133518_6134892_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
SROS_RS28700_AMP_binding_NC_013595__6525039_6526407_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
SVTN_RS35600_AMP_binding_NZ_CP010407__7982519_7983938_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
ACH46_RS12620_AMP_binding_NZ_CP011853__2692657_2694001_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
SSEG_RS31755_AMP_binding_NZ_CM000951__7066664_7067855_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
CARG_RS07015_AMP_binding_NC_022198__1490188_1491562_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
CEPID_RS08660_AMP_binding_NZ_CP011541__1868135_1869500_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
BURJ1DRAFT_RS15220_AMP_binding_NZ_CM001438__3494986_3496327_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
CKROP_RS06580_AMP_binding_NC_012704__1582606_1583971_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
DB32_RS17035_AMP_binding_NZ_CP011125__3997995_3999288_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
BKM78_RS07025_AMP_binding_NZ_CP019229__1515591_1516935_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
GA0070621_RS08640_AMP_binding_NZ_LT594324__1916599_1917757_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
BGL_RS23890_AMP_binding_NZ_CP002581__1484313_1485495______bpln__,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
CFBP1590_RS01765_AMP_binding_NZ_LT855380__367963_369163_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
BIND_RS13060_AMP_binding_NC_010581__2953091_2954201_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
AOR04_RS17995_AMP_binding_NZ_CP012738__101445_102519_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
JI59_RS20330_AMP_binding_NZ_CP009292__350546_351377_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
HCH_RS29830_AMP_binding_NC_007645__6735055_6736183_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
CR511_RS11630_AMP_binding_NZ_CP024085__2562102_2563221_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
PSAKL28_RS09425_AMP_binding_NZ_CP009048__2018841_2019945_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
FRANEAN1_RS19230_AMP_binding_NC_009921__4741401_4742835_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
FRAAL_RS13935_AMP_binding_NC_008278__3460538_3461861_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
R1CP_RS31660_AMP_binding_NZ_CP009111__6967337_6968594_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
A4V08_RS34430_AMP_binding_NZ_CP015399.2_6877856_6879071_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
AAY81_RS03280_AMP_binding_NZ_CP011402__811872_813111_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
CLO1100_RS15835_AMP_binding_NC_016791__3740136_3741408_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
BQ7370_RS00750_AMP_binding_NZ_LT635479__126075_127272_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
EUBCEDRAFT1_RS11985_AMP_binding_NZ_CM001487__2875202_2876477____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
CM240_RS05080_AMP_binding_NZ_HG917868__1154273_1155578_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
RUM_RS00400_AMP_binding_NC_021039__95308_96532_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
AMK43_RS07845_AMP_binding_NZ_CP012410__1699446_1700628_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
CEP89_RS04480_AMP_binding_NZ_CP027400__984994_986149_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
CEP89_RS04475_AMP_binding_NZ_CP027400__982397_983645_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
VC03_RS03720_AMP_binding_NZ_CP011280__730278_731454_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
STERM_RS18575_AMP_binding_NC_013517__3982881_3984105_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
